70 50 7 12
24 18 37 27 16 51 30 
52 53 56 63 33 22 70 
12 67 59 23 45 2 33 
32 29 14 52 17 47 15 
6 35 70 19 51 47 65 
58 18 49 15 22 68 19 
43 20 10 29 46 36 66 
70 69 27 45 8 20 38 
45 40 8 7 65 57 67 
30 57 40 3 37 27 31 
64 50 49 40 62 28 8 
2 32 19 4 46 3 26 
2 5 41 1 38 4 14 
45 42 18 28 36 58 40 
51 39 26 7 11 50 9 
24 16 19 61 42 49 44 
52 60 63 14 15 61 65 
15 56 39 66 57 26 63 
55 53 25 35 16 1 7 
54 59 13 38 62 35 36 
55 4 60 13 70 62 57 
64 53 58 19 31 13 21 
69 7 46 51 37 55 2 
65 20 47 52 68 14 28 
59 5 10 24 22 43 51 
38 28 60 50 47 46 12 
21 20 32 53 16 48 9 
46 4 7 17 55 11 67 
27 56 47 39 41 21 38 
36 64 40 44 34 58 25 
12 6 23 35 44 67 27 
68 54 28 50 41 48 34 
22 45 23 52 66 48 11 
5 66 59 22 1 6 67 
14 29 30 25 31 8 24 
43 20 56 1 64 4 12 
42 54 39 33 62 41 69 
61 62 34 41 31 10 11 
58 42 49 1 32 24 43 
54 26 17 69 29 48 2 
34 61 21 18 9 13 37 
49 18 3 35 61 12 69 
53 59 10 3 6 66 29 
9 44 26 8 17 60 21 
39 56 64 42 6 63 57 
48 54 33 68 17 23 37 
5 30 32 25 13 55 70 
36 23 11 3 30 5 60 
34 16 50 44 68 25 15 
43 65 63 33 9 31 10
